relone_date,gov_date,type,feature,description
2022/10/11,,Enhancement,Workspace Management,Default Cache Location field is now hidden when you create new workspace. (RelativityOne Yarrow 1)
2022/10/10,,Enhancement,Viewer,"The Native Viewer now leverages new PDF rendering capabilities, which will support rendering more formatting elements of PDFs, include XFA PDFs. (RelativityOne Yarrow 1)"
2022/10/09,2022/12/01,Enhancement,Legal Hold,"Questions, tasks, preservation cases, and attachments layouts have been Aero-enabled. (RelativityOne Yarrow 1)"
2022/10/06,2023/02/10,Enhancement,Collect,This feature adds a new message type filter to Slack Collections. Now you have the ability to collect from both Direct and Group Messages when performing a Slack collection. (RelativityOne Yarrow 1)
2022/10/06,2022/10/06,Enhancement,Viewer,You can persistently filter out event types and more in RSMFs in the viewer. (RelativityOne Yarrow 1)
2022/10/05,2022/10/05,Deprecation,Integration Points,O365 Integration application is no longer used for importing data into Integration Points. (RelativityOne Yarrow 1)
2022/10/04,2022/10/18,Enhancement,Redact,"In RelativityOne Redact, we've introduced a 'Find and Redact' feature that extends the existing Viewer search capabilities by allowing you to draw markup over selected search hits with your preferred markup type, style, and scope when marking up spreadsheets. If there's any searchable pattern at all to the content you want to markup, this feature will make your manual workflows much more efficient. (RelativityOne Yarrow 1)"
2022/10/04,2022/10/04,Enhancement,Review Interface,The Text Viewer now supports contextual search drawer for review. (RelativityOne Yarrow 1)
2022/10/04,2022/10/04,Enhancement,Review Interface,The Refresh icon is moved under the Menu option for document cards. (RelativityOne Yarrow 1)
2022/10/04,2022/10/04,Enhancement,Review Interface,The refresh icon is added to Document and Production history cards. (RelativityOne Yarrow 1)
2022/09/30,2022/12/21,Enhancement,Legal Hold,You can now use the Graph API within Microsoft 365 to send and receive notification emails. You can also use modern authentication methods opposed to basic authentication which is getting deprecated. (RelativityOne Yarrow 1)
2022/09/30,,Enhancement,Review Interface,"Reviewers can now run mass operations Replace, Image, Save as List, and Tally/Sum/Avg in the Related Items pane on a group of family documents. (RelativityOne Yarrow 1)"
2022/09/27,,Deprecation,RelativityOne Activity Dashboard,"The RelativityOne Activity Dashboard has been removed from the interface. We have integrated our data utilization functionality into the Management Console, and will continue to surface more valuable insights in the future. (RelativityOne Yarrow 1)"
2022/09/27,,Enhancement,ARM,Workspaces in Cold Storage can be archived. Workspace will be visible in drop-down list in ARM job page. Workspaces do not have to be moved to active state before archiving. (RelativityOne Yarrow 1)
2022/09/24,,Enhancement,Viewer,"The review interface now supports rendering WebP image files in the native viewer. WebP is an image file format developed by Google intended as a replacement for JPEG, PNG, and GIF file formats. (RelativityOne Yarrow 1)"
2022/09/15,,Enhancement,Redact,"Introduced a new viewer card for managing spreadsheet tabs so users have a dedicated place for marking tab content. Similar to how other spreadsheet-specific content have dedicated viewer cards (charts, comments, headers + footers, objects), we introduced a new Redact viewer card for tabs and removed the Redact current sheet name toolbar button due to it no longer being necessary. (RelativityOne Yarrow 0)"
2022/09/12,,Enhancement,Structured Analytics,Structured Analytics now appears in Aero styling. (RelativityOne Yarrow 0)
2022/09/07,,Enhancement,Review Interface,Reviewers can now pop out the document history card in a separate window and dock it back. (RelativityOne Yarrow 0)
2022/09/01,2024/03/01,Enhancement,Translate,"Translate documents in Relativity with a mass operation or a singled document in the viewer. Returned translated documents will be formatted in the original style of the native, where supported, and translated extracted text will be available for the document for search and analytics purposes. (RelativityOne Yarrow 0)"
2022/08/31,,Enhancement,Pivot,You can now select the type of widget you are creating and map the fields to the right to the axis. (RelativityOne Yarrow 0)
2022/08/31,,Enhancement,Processing,Added processing support for dynamic XFA PDF forms. (RelativityOne Yarrow 0)
2022/08/05,,Enhancement,Transcripts,"When printing a transcript from the viewer, you can now include a legend for your designations. (RelativityOne White Sedge 2)"
2022/08/05,,Enhancement,Collect,"You can now collect Outlook mailboxes, calendars, contacts, OneDrive files and Teams chats from Microsoft M365 tenants in RelativityOne Government instances. You can now collect Outlook mailboxes, calendars, contacts, OneDrive files Microsoft G365 tenants in RelativityOne Government instances. (RelativityOne White Sedge 2)"
2022/07/31,,Enhancement,Collect,You can now select the entity Document Numbering Prefix (DPN) or the processing profile DPN when submitting a collection to processing. (RelativityOne Yarrow 1)
2022/07/29,,Enhancement,Mass Operations,"The Mass Operations Manager agent has been converted to run on RelativityOne compute, which enables improved agent performance and stability. This is a phased rollout, so not all instances will see this change in their environment immediately. (RelativityOne White Sedge 2)"
2022/07/29,,Enhancement,Redact,Extended the native redaction capabilities of Redact by adding support for the ability to redact native .csv files in the viewer and as part of Spreadsheet projects. (RelativityOne White Sedge 2)
2022/07/20,2023/11/20,Enhancement,Collect,You can now collect from M365/G365 Archived Mailboxes in RelativityOne Government.
2022/07/18,,Enhancement,Processing,NIST Version 2.72 is now available for download. This version is now deployed to RelativityOne. (RelativityOne White Sedge 2)
2022/07/15,,Enhancement,ARM,"The ARM agents have been converted to run on RelativityOne compute, which enables improved agent performance and stability. You no longer need or be able to add or modify ARM agents within your RelativityOne environments once rollout is complete. This is a phased rollout, so not all instances will see this change in their environment immediately. (RelativityOne White Sedge 1)"
2022/07/15,,Enhancement,Structured Analytics,Signature blocks are no longer considered part of segment bodies when it comes to email threading analysis. This improves how email signature blocks impact the inclusiveness designation of an email are reduces over-inclusiveness based on signature blocks. (RelativityOne White Sedge 1)
